"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather report -Cloudy Weather , possibility of light Rainfall","MAHARASHTRA","BULDANA","JALGAONJAMOD","2018-10-01 16:06:57.250"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather report -Cloudy Weather , possibility of light Rainfall","MAHARASHTRA","BULDANA","JALGAONJAMOD","2018-10-01 16:06:57.250"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Weather","ASKING ABOUT SPRAYING ON BRINJAL?","Spray Proclaim 5gm + cabratol 30ml/ 15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta","MAHARASHTRA","BULDANA","SANGRAMPUR                                        ","2018-10-01 16:13:43.180"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Weather","ASKING ABOUT SPRAYING ON BRINJAL?","Spray Proclaim 5gm + cabratol 30ml/ 15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta","MAHARASHTRA","BULDANA","SANGRAMPUR                                        ","2018-10-01 16:13:43.180"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is cloudy and Possibility of light Rainfall","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 16:17:55.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is cloudy and Possibility of light Rainfall","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 16:17:55.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Report - This week weather is cloudy and  Possibility of Rainfall","MAHARASHTRA","BULDANA","JALGAONJAMOD","2018-10-01 16:23:26.263"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Report - This week weather is cloudy and  Possibility of Rainfall","MAHARASHTRA","BULDANA","JALGAONJAMOD","2018-10-01 16:23:26.263"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEME ?","FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 16:25:22.593"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEME ?","FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 16:25:22.593"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","ASKING ABOUT FERTILISER DOSE FOR tur","APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE","MAHARASHTRA","BULDANA","MALKAPUR                                          ","2018-10-01 16:29:07.187"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","ASKING ABOUT FERTILISER DOSE FOR tur","APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE","MAHARASHTRA","BULDANA","MALKAPUR                                          ","2018-10-01 16:29:07.187"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Report - This week weather is cloudy and  Possibility of Rainfall","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 16:31:15.573"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Report - This week weather is cloudy and  Possibility of Rainfall","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 16:31:15.573"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is Partly cloudy and Possibility of  medium to light Rainfall.","MAHARASHTRA","BULDANA","MALKAPUR                                          ","2018-10-01 16:40:35.087"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is Partly cloudy and Possibility of  medium to light Rainfall.","MAHARASHTRA","BULDANA","MALKAPUR                                          ","2018-10-01 16:40:35.087"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","weather cloudy light rainfall chances & total week rainfall chances","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 16:45:16.777"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","weather cloudy light rainfall chances & total week rainfall chances","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 16:45:16.777"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 16:53:29.910"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 16:53:29.910"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Attack of White Grub","DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 17:00:24.140"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Attack of White Grub","DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 17:00:24.140"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","Tahsil Weather Report- This week weather is cloudy and Possibility  light Rainfall .","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 17:01:03.140"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","Tahsil Weather Report- This week weather is cloudy and Possibility  light Rainfall .","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 17:01:03.140"
"KHARIF","HORTICULTURE","Vegetables","Carrot","Fertilizer Use and Availability","FERTILIZER SPRAY ?","SPRAY 13 00 45 60 GM /15 Lit of Water.","MAHARASHTRA","BULDANA","CHIKHLI                                           ","2018-10-01 17:04:12.603"
"KHARIF","HORTICULTURE","Vegetables","Carrot","Fertilizer Use and Availability","FERTILIZER SPRAY ?","SPRAY 13 00 45 60 GM /15 Lit of Water.","MAHARASHTRA","BULDANA","CHIKHLI                                           ","2018-10-01 17:04:12.603"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","FLOWER DROP in cotton ?","SPRAY PLANOFIX 4 ML/15 LITER WATER .","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 17:09:12.873"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","FLOWER DROP in cotton ?","SPRAY PLANOFIX 4 ML/15 LITER WATER .","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 17:09:12.873"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","BULDANA","SHEGAON                                           ","2018-10-01 17:09:47.380"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","BULDANA","SHEGAON                                           ","2018-10-01 17:09:47.380"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Forecast - partly cloudy atmosphere  , there will be possibility of rain in some places.","MAHARASHTRA","BULDANA","NANDURA                                           ","2018-10-01 17:10:16.427"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Forecast - partly cloudy atmosphere  , there will be possibility of rain in some places.","MAHARASHTRA","BULDANA","NANDURA                                           ","2018-10-01 17:10:16.427"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Report - This week weather is cloudy and  Possibility of Rainfall","MAHARASHTRA","BULDANA","BULDANA                                           ","2018-10-01 17:17:51.183"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Report - This week weather is cloudy and  Possibility of Rainfall","MAHARASHTRA","BULDANA","BULDANA                                           ","2018-10-01 17:17:51.183"
